gene,log2FC,pval,adj_pval,color
PB.15794.124,4.421655809194912,0.00016048532570328973,0.039532249466279965,red
PB.9657.16,4.421655809194912,0.00016048532570328973,0.03959948118305935,red
PB.7223.37,4.421655809194912,0.00016048532570328973,0.03966694196872044,red
PB.15962.16,4.421655809194912,0.00016048532570328973,0.03973463299597082,red
PB.1761.5,4.421655809194912,0.00016048532570328973,0.03980255544553658,red
PB.1763.10,4.421655809194912,0.00016048532570328973,0.03987071050623099,red
PB.3622.8,4.421655809194912,0.00016048532570328973,0.039939099375023844,red
PB.10798.9,4.421655809194912,0.00016048532570328973,0.040007723257111515,red
PB.16589.3,4.421655809194912,0.00016048532570328973,0.04007658336598778,red
PB.1055.3,4.421655809194912,0.00016048532570328973,0.040145680923515344,red
PB.9271.11,4.421655809194912,0.00016048532570328973,0.040215017159998104,red
PB.6101.20,4.421655809194912,0.00016048532570328973,0.04028459331425415,red
PB.11639.1,4.421655809194912,0.00016048532570328973,0.0403544106336896,red
PB.16159.7,4.421655809194912,0.00016048532570328973,0.04042447037437309,red
PB.1581.6,4.421655809194912,0.00016048532570328973,0.040494773801111134,red
PB.15491.1,6.097215692194524,0.00016484185402982265,0.04053656765674391,red
PB.11963.16,4.421655809194912,0.00016048532570328973,0.04056532218752422,red
PB.14018.1,4.421655809194912,0.00016048532570328973,0.04063611681612374,red
PB.4871.14,4.421655809194912,0.00016048532570328973,0.04070715897838969,red
PB.15581.8,4.421655809194912,0.00016048532570328973,0.04077844997484921,red
PB.83.28,4.421655809194912,0.00016048532570328973,0.04084999111515596,red
PB.812.4,4.421655809194912,0.00016048532570328973,0.0409217837181703,red
PB.7439.2,4.421655809194912,0.00016048532570328973,0.04099382911204032,red
PB.9911.19,4.421655809194912,0.00016048532570328973,0.04106612863428377,red
PB.581.36,4.421655809194912,0.00016048532570328973,0.04113868363187085,red
PB.8308.5,4.421655809194912,0.00016048532570328973,0.04121149546130779,red
PB.4768.1,4.421655809194912,0.00016048532570328973,0.041284565488721454,red
PB.15888.26,4.421655809194912,0.00016048532570328973,0.04135789508994476,red
PB.9700.1,4.421655809194912,0.00016048532570328973,0.04143148565060303,red
PB.4653.14,4.421655809194912,0.00016048532570328973,0.04150533856620125,red
PB.12800.1,4.421655809194912,0.00016048532570328973,0.04157945524221232,red
PB.4671.4,4.421655809194912,0.00016048532570328973,0.04165383709416619,red
PB.6336.14,4.421655809194912,0.00016048532570328973,0.04172848554773997,red
PB.5731.1,4.421655809194912,0.00016048532570328973,0.04180340203884901,red
PB.1825.1,4.421655809194912,0.00016048532570328973,0.04187858801373903,red
PB.15074.2,4.421655809194912,0.00016048532570328973,0.0419540449290791,red
PB.9629.4,4.421655809194912,0.00016048532570328973,0.04202977425205578,red
PB.1030.7,4.421655809194912,0.00016048532570328973,0.042105777460468174,red
PB.9109.8,4.421655809194912,0.00016048532570328973,0.042182056042824094,red
PB.5422.12,4.421655809194912,0.00016048532570328973,0.0422586114984372,red
PB.11687.1,4.421655809194912,0.00016048532570328973,0.04233544533752527,red
PB.1409.1,4.421655809194912,0.00016048532570328973,0.042412559081309475,red
PB.9922.1,4.421655809194912,0.00016048532570328973,0.042489954262114785,red
PB.13388.8,4.421655809194912,0.00016048532570328973,0.04256763242347148,red
PB.10057.50,4.421655809194912,0.00016048532570328973,0.04264559512021777,red
PB.10585.14,4.421655809194912,0.00016048532570328973,0.04272384391860349,red
PB.9609.20,4.421655809194912,0.00016048532570328973,0.042802380396395036,red
PB.2442.4,4.421655809194912,0.00016048532570328973,0.0428812061429814,red
PB.2850.61,4.421655809194912,0.00016048532570328973,0.04296032275948137,red
PB.5837.11,4.421655809194912,0.00016048532570328973,0.04303973185885194,red
PB.12393.1,4.421655809194912,0.00016048532570328973,0.04311943506599796,red
PB.6288.9,4.421655809194912,0.00016048532570328973,0.04319943401788293,red
PB.1900.20,4.421655809194912,0.00016048532570328973,0.04327973036364108,red
PB.13679.2,4.421655809194912,0.00016048532570328973,0.04336032576469069,red
PB.13922.1,4.421655809194912,0.00016048532570328973,0.0434412218948487,red
PB.12792.3,4.421655809194912,0.00016048532570328973,0.04352242044044654,red
PB.7073.10,4.421655809194912,0.00016048532570328973,0.043603923100447375,red
PB.17295.33,4.421655809194912,0.00016048532570328973,0.04368573158656454,red
PB.16796.19,4.421655809194912,0.00016048532570328973,0.043767847623381394,red
PB.5953.3,4.421655809194912,0.00016048532570328973,0.043850272948472505,red
PB.3592.8,4.421655809194912,0.00016048532570328973,0.04393300931252623,red
PB.15830.3,4.421655809194912,0.00016048532570328973,0.04401605847946862,red
PB.13161.20,4.421655809194912,0.00016048532570328973,0.04409942222658882,red
PB.14692.22,4.421655809194912,0.00016048532570328973,0.044183102344665846,red
PB.5403.7,4.421655809194912,0.00016048532570328973,0.04426710063809677,red
PB.5323.34,4.421655809194912,0.00016048532570328973,0.044351418925026476,red
PB.15610.1,4.421655809194912,0.00016048532570328973,0.04443605903747882,red
PB.9216.1,4.421655809194912,0.00016048532570328973,0.044521022821489294,red
PB.8172.27,4.421655809194912,0.00016048532570328973,0.04460631213723927,red
PB.6739.2,4.421655809194912,0.00016048532570328973,0.044691928859191744,red
PB.1767.22,4.421655809194912,0.00016048532570328973,0.044777874876228654,red
PB.11569.14,4.421655809194912,0.00016048532570328973,0.04486415209178979,red
PB.10960.37,4.421655809194912,0.00016048532570328973,0.04495076242401332,red
PB.12970.1,4.421655809194912,0.00016048532570328973,0.04503770780587795,red
PB.2022.1,4.421655809194912,0.00016048532570328973,0.04512499018534671,red
PB.7943.3,4.421655809194912,0.00016048532570328973,0.045212611525512425,red
PB.14835.20,4.421655809194912,0.00016048532570328973,0.04530057380474494,red
PB.184.5,4.421655809194912,0.00016048532570328973,0.04538887901683996,red
PB.15715.2,4.421655809194912,0.00016048532570328973,0.04547752917116973,red
PB.5254.25,4.421655809194912,0.00016048532570328973,0.04556652629283542,red
PB.6775.9,4.421655809194912,0.00016048532570328973,0.045655872422821375,red
PB.1961.4,4.421655809194912,0.00016048532570328973,0.04574556961815108,red
PB.10806.3,4.421655809194912,0.00016048532570328973,0.045835619952045076,red
PB.6101.23,4.421655809194912,0.00016048532570328973,0.04592602551408067,red
PB.16133.4,-1.0125493171843916,0.00018822365591472607,0.04597473701911747,red
PB.12199.1,4.421655809194912,0.00016048532570328973,0.04601678841035356,red
PB.1867.3,-1.0125493171843916,0.00018822365591472607,0.04605226608660334,red
PB.6195.6,4.421655809194912,0.00016048532570328973,0.04610791076364139,red
PB.16431.1,-1.0125493171843916,0.00018822365591472607,0.04613005707661449,red
PB.15602.57,4.421655809194912,0.00016048532570328973,0.04619939471356924,red
